"row","Species","Body Mass (g)","Ladder_score","Regional_indicator"
"1","South Asia",2.523,2.523,"South Asia"
"2","Central and Eastern Europe",5.117,5.117,"Central and Eastern Europe"
"3","Middle East and North Africa",4.887,4.887,"Middle East and North Africa"
"4","Sub-Saharan Africa",3.795,3.795,"Sub-Saharan Africa"
"5","Latin America and Caribbean",5.929,5.929,"Latin America and Caribbean"
"6","Commonwealth of Independent States",5.283,5.283,"Commonwealth of Independent States"
"7","North America and ANZ",7.183,7.183,"North America and ANZ"
"8","Western Europe",7.268,7.268,"Western Europe"
"9","Commonwealth of Independent States",5.171,5.171,"Commonwealth of Independent States"
"10","Middle East and North Africa",6.647,6.647,"Middle East and North Africa"
"11","South Asia",5.025,5.025,"South Asia"
"12","Commonwealth of Independent States",5.534,5.534,"Commonwealth of Independent States"
"13","Western Europe",6.834,6.834,"Western Europe"
"14","Sub-Saharan Africa",5.045,5.045,"Sub-Saharan Africa"
"15","Latin America and Caribbean",5.716,5.716,"Latin America and Caribbean"
"16","Central and Eastern Europe",5.813,5.813,"Central and Eastern Europe"
"17","Sub-Saharan Africa",3.467,3.467,"Sub-Saharan Africa"
"18","Latin America and Caribbean",6.33,6.33,"Latin America and Caribbean"
"19","Central and Eastern Europe",5.266,5.266,"Central and Eastern Europe"
"20","Sub-Saharan Africa",4.834,4.834,"Sub-Saharan Africa"
"21","Sub-Saharan Africa",3.775,3.775,"Sub-Saharan Africa"
"22","Southeast Asia",4.83,4.83,"Southeast Asia"
"23","Sub-Saharan Africa",5.142,5.142,"Sub-Saharan Africa"
"24","North America and ANZ",7.103,7.103,"North America and ANZ"
"25","Sub-Saharan Africa",3.93,3.93,"Sub-Saharan Africa"
"26","Sub-Saharan Africa",4.355,4.355,"Sub-Saharan Africa"
"27","Latin America and Caribbean",6.172,6.172,"Latin America and Caribbean"
"28","East Asia",5.339,5.339,"East Asia"
"29","Latin America and Caribbean",6.012,6.012,"Latin America and Caribbean"
"30","Sub-Saharan Africa",4.289,4.289,"Sub-Saharan Africa"
"31","Latin America and Caribbean",7.069,7.069,"Latin America and Caribbean"
"32","Central and Eastern Europe",5.882,5.882,"Central and Eastern Europe"
"33","Western Europe",6.223,6.223,"Western Europe"
"34","Central and Eastern Europe",6.965,6.965,"Central and Eastern Europe"
"35","Sub-Saharan Africa",5.342,5.342,"Sub-Saharan Africa"
"36","Western Europe",7.62,7.62,"Western Europe"
"37","Latin America and Caribbean",5.545,5.545,"Latin America and Caribbean"
"38","Latin America and Caribbean",5.764,5.764,"Latin America and Caribbean"
"39","Middle East and North Africa",4.283,4.283,"Middle East and North Africa"
"40","Latin America and Caribbean",6.061,6.061,"Latin America and Caribbean"
"41","Central and Eastern Europe",6.189,6.189,"Central and Eastern Europe"
"42","Sub-Saharan Africa",4.275,4.275,"Sub-Saharan Africa"
"43","Western Europe",7.842,7.842,"Western Europe"
"44","Western Europe",6.69,6.69,"Western Europe"
"45","Sub-Saharan Africa",4.852,4.852,"Sub-Saharan Africa"
"46","Sub-Saharan Africa",5.051,5.051,"Sub-Saharan Africa"
"47","Commonwealth of Independent States",4.891,4.891,"Commonwealth of Independent States"
"48","Western Europe",7.155,7.155,"Western Europe"
"49","Sub-Saharan Africa",5.088,5.088,"Sub-Saharan Africa"
"50","Western Europe",5.723,5.723,"Western Europe"
"51","Latin America and Caribbean",6.435,6.435,"Latin America and Caribbean"
"52","Sub-Saharan Africa",4.984,4.984,"Sub-Saharan Africa"
"53","Latin America and Caribbean",3.615,3.615,"Latin America and Caribbean"
"54","Latin America and Caribbean",5.919,5.919,"Latin America and Caribbean"
"55","East Asia",5.477,5.477,"East Asia"
"56","Central and Eastern Europe",5.992,5.992,"Central and Eastern Europe"
"57","Western Europe",7.554,7.554,"Western Europe"
"58","South Asia",3.819,3.819,"South Asia"
"59","Southeast Asia",5.345,5.345,"Southeast Asia"
"60","Middle East and North Africa",4.721,4.721,"Middle East and North Africa"
"61","Middle East and North Africa",4.854,4.854,"Middle East and North Africa"
"62","Western Europe",7.085,7.085,"Western Europe"
"63","Middle East and North Africa",7.157,7.157,"Middle East and North Africa"
"64","Western Europe",6.483,6.483,"Western Europe"
"65","Sub-Saharan Africa",5.306,5.306,"Sub-Saharan Africa"
"66","Latin America and Caribbean",6.309,6.309,"Latin America and Caribbean"
"67","East Asia",5.94,5.94,"East Asia"
"68","Middle East and North Africa",4.395,4.395,"Middle East and North Africa"
"69","Commonwealth of Independent States",6.152,6.152,"Commonwealth of Independent States"
"70","Sub-Saharan Africa",4.607,4.607,"Sub-Saharan Africa"
"71","Central and Eastern Europe",6.372,6.372,"Central and Eastern Europe"
"72","Middle East and North Africa",6.106,6.106,"Middle East and North Africa"
"73","Commonwealth of Independent States",5.744,5.744,"Commonwealth of Independent States"
"74","Southeast Asia",5.03,5.03,"Southeast Asia"
"75","Central and Eastern Europe",6.032,6.032,"Central and Eastern Europe"
"76","Middle East and North Africa",4.584,4.584,"Middle East and North Africa"
"77","Sub-Saharan Africa",3.512,3.512,"Sub-Saharan Africa"
"78","Sub-Saharan Africa",4.625,4.625,"Sub-Saharan Africa"
"79","Middle East and North Africa",5.41,5.41,"Middle East and North Africa"
"80","Central and Eastern Europe",6.255,6.255,"Central and Eastern Europe"
"81","Western Europe",7.324,7.324,"Western Europe"
"82","Sub-Saharan Africa",4.208,4.208,"Sub-Saharan Africa"
"83","Sub-Saharan Africa",3.6,3.6,"Sub-Saharan Africa"
"84","Southeast Asia",5.384,5.384,"Southeast Asia"
"85","South Asia",5.198,5.198,"South Asia"
"86","Sub-Saharan Africa",4.723,4.723,"Sub-Saharan Africa"
"87","Western Europe",6.602,6.602,"Western Europe"
"88","Sub-Saharan Africa",4.227,4.227,"Sub-Saharan Africa"
"89","Sub-Saharan Africa",6.049,6.049,"Sub-Saharan Africa"
"90","Latin America and Caribbean",6.317,6.317,"Latin America and Caribbean"
"91","Commonwealth of Independent States",5.766,5.766,"Commonwealth of Independent States"
"92","East Asia",5.677,5.677,"East Asia"
"93","Central and Eastern Europe",5.581,5.581,"Central and Eastern Europe"
"94","Middle East and North Africa",4.918,4.918,"Middle East and North Africa"
"95","Sub-Saharan Africa",4.794,4.794,"Sub-Saharan Africa"
"96","Southeast Asia",4.426,4.426,"Southeast Asia"
"97","Sub-Saharan Africa",4.574,4.574,"Sub-Saharan Africa"
"98","South Asia",5.269,5.269,"South Asia"
"99","Western Europe",7.464,7.464,"Western Europe"
"100","North America and ANZ",7.277,7.277,"North America and ANZ"
"101","Latin America and Caribbean",5.972,5.972,"Latin America and Caribbean"
"102","Sub-Saharan Africa",5.074,5.074,"Sub-Saharan Africa"
"103","Sub-Saharan Africa",4.759,4.759,"Sub-Saharan Africa"
"104","Western Europe",5.536,5.536,"Western Europe"
"105","Central and Eastern Europe",5.101,5.101,"Central and Eastern Europe"
"106","Western Europe",7.392,7.392,"Western Europe"
"107","South Asia",4.934,4.934,"South Asia"
"108","Middle East and North Africa",4.517,4.517,"Middle East and North Africa"
"109","Latin America and Caribbean",6.18,6.18,"Latin America and Caribbean"
"110","Latin America and Caribbean",5.653,5.653,"Latin America and Caribbean"
"111","Latin America and Caribbean",5.84,5.84,"Latin America and Caribbean"
"112","Southeast Asia",5.88,5.88,"Southeast Asia"
"113","Central and Eastern Europe",6.166,6.166,"Central and Eastern Europe"
"114","Western Europe",5.929,5.929,"Western Europe"
"115","Central and Eastern Europe",6.14,6.14,"Central and Eastern Europe"
"116","Commonwealth of Independent States",5.477,5.477,"Commonwealth of Independent States"
"117","Sub-Saharan Africa",3.415,3.415,"Sub-Saharan Africa"
"118","Middle East and North Africa",2.82,2.82,"Middle East and North Africa"
"119","Middle East and North Africa",6.494,6.494,"Middle East and North Africa"
"120","Sub-Saharan Africa",5.132,5.132,"Sub-Saharan Africa"
"121","Central and Eastern Europe",6.078,6.078,"Central and Eastern Europe"
"122","Sub-Saharan Africa",3.849,3.849,"Sub-Saharan Africa"
"123","Southeast Asia",6.377,6.377,"Southeast Asia"
"124","Central and Eastern Europe",6.331,6.331,"Central and Eastern Europe"
"125","Central and Eastern Europe",6.461,6.461,"Central and Eastern Europe"
"126","Sub-Saharan Africa",4.956,4.956,"Sub-Saharan Africa"
"127","East Asia",5.845,5.845,"East Asia"
"128","Western Europe",6.491,6.491,"Western Europe"
"129","South Asia",4.325,4.325,"South Asia"
"130","Middle East and North Africa",4.14,4.14,"Middle East and North Africa"
"131","Sub-Saharan Africa",4.308,4.308,"Sub-Saharan Africa"
"132","Western Europe",7.363,7.363,"Western Europe"
"133","Western Europe",7.571,7.571,"Western Europe"
"134","East Asia",6.584,6.584,"East Asia"
"135","Commonwealth of Independent States",5.466,5.466,"Commonwealth of Independent States"
"136","Sub-Saharan Africa",3.623,3.623,"Sub-Saharan Africa"
"137","Southeast Asia",5.985,5.985,"Southeast Asia"
"138","Sub-Saharan Africa",4.107,4.107,"Sub-Saharan Africa"
"139","Middle East and North Africa",4.596,4.596,"Middle East and North Africa"
"140","Middle East and North Africa",4.948,4.948,"Middle East and North Africa"
"141","Commonwealth of Independent States",5.066,5.066,"Commonwealth of Independent States"
"142","Sub-Saharan Africa",4.636,4.636,"Sub-Saharan Africa"
"143","Commonwealth of Independent States",4.875,4.875,"Commonwealth of Independent States"
"144","Middle East and North Africa",6.561,6.561,"Middle East and North Africa"
"145","Western Europe",7.064,7.064,"Western Europe"
"146","North America and ANZ",6.951,6.951,"North America and ANZ"
"147","Latin America and Caribbean",6.431,6.431,"Latin America and Caribbean"
"148","Commonwealth of Independent States",6.179,6.179,"Commonwealth of Independent States"
"149","Latin America and Caribbean",4.892,4.892,"Latin America and Caribbean"
"150","Southeast Asia",5.411,5.411,"Southeast Asia"
"151","Middle East and North Africa",3.658,3.658,"Middle East and North Africa"
"152","Sub-Saharan Africa",4.073,4.073,"Sub-Saharan Africa"
"153","Sub-Saharan Africa",3.145,3.145,"Sub-Saharan Africa"
